#time(s),x(m),y(m),z(m),qx,qy,qz,qw,gt_x(m),gt_y(m),gt_z(m),gt_qx,gt_qy,gt_qz,gt_qw
36.000000,155.617220,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,155.617220,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
37.000000,168.946028,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,168.946028,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
38.000000,183.014987,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,183.014987,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
39.000000,197.844096,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,197.844096,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
40.000000,213.453355,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,213.453355,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
41.000000,229.862764,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,229.862764,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
42.000000,247.092323,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,247.092323,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
43.000000,265.162032,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,265.162032,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
44.000000,284.091891,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,284.091891,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
45.000000,303.901899,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,303.901899,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
46.000000,324.612058,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,324.612058,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
47.000000,346.242367,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,346.242367,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
48.000000,368.812826,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,368.812826,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
49.000000,392.343435,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,392.343435,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
50.000000,416.854194,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,416.854194,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
51.000000,442.365103,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,442.365103,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
52.000000,468.896162,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,468.896162,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
53.000000,496.467370,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,496.467370,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
54.000000,525.098729,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,525.098729,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
55.000000,554.810238,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,554.810238,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
56.000000,585.621897,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,585.621897,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
57.000000,617.553706,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,617.553706,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
58.000000,650.625665,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,650.625665,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
59.000000,684.857774,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,684.857774,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
60.000000,720.270033,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,720.270033,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
61.000000,756.882441,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,756.882441,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
62.000000,794.715000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,794.715000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
63.000000,833.787709,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,833.787709,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
64.000000,874.120568,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,874.120568,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
65.000000,915.733577,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,915.733577,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
66.000000,958.646736,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,958.646736,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
67.000000,1002.880045,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1002.880045,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
68.000000,1048.453504,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1048.453504,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
69.000000,1095.387112,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1095.387112,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
70.000000,1143.700871,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1143.700871,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
71.000000,1193.414780,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1193.414780,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
72.000000,1244.548839,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1244.548839,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
73.000000,1297.123048,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1297.123048,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
74.000000,1351.157407,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1351.157407,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
75.000000,1406.671916,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1406.671916,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
76.000000,1463.686575,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1463.686575,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
77.000000,1522.221383,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1522.221383,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
78.000000,1582.296342,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1582.296342,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
79.000000,1643.931451,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1643.931451,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
80.000000,1707.146710,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1707.146710,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
81.000000,1771.962119,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1771.962119,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
82.000000,1838.397678,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1838.397678,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
83.000000,1906.473387,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1906.473387,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
84.000000,1976.209246,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1976.209246,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
85.000000,2047.625254,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,2047.625254,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
86.000000,2120.741413,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,2120.741413,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
87.000000,2195.577722,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,2195.577722,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
88.000000,2272.154181,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,2272.154181,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
89.000000,2350.490790,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,2350.490790,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
90.000000,2430.607549,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,2430.607549,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
91.000000,2512.524458,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,2512.524458,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
92.000000,2596.261517,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,2596.261517,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
93.000000,2681.838725,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,2681.838725,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
94.000000,2769.276084,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,2769.276084,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
95.000000,2858.593593,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,2858.593593,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
96.000000,2949.811252,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,2949.811252,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
97.000000,3042.949061,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,3042.949061,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
98.000000,3138.027020,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,3138.027020,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
99.000000,3235.065129,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,3235.065129,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
